team_id,team_name,in_2019,team_seed,team_region,rd0_win,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,loss_margin,tourn_id,opp_id,owner,cost,return
267,University of Michigan,1,1,East,,,,,,,,,1,16,,,
223,University of Alabama,1,2,East,,,,,,,,,2,15,,,
311,University of Texas at Austin,1,3,East,,,,,,,,,3,14,,,
72,Florida State University,1,4,East,,,,,,,,,4,13,,,
238,"University of Colorado, Boulder",1,5,East,,,,,,,,,5,12,,,
21,Brigham Young University,1,6,East,,,,,,,,,6,11,,,
239,University of Connecticut,1,7,East,,,,,,,,,7,10,,,
114,Louisiana State University,1,8,East,,,,,,,,,8,9,,,
196,St. Bonaventure University,1,9,East,,,,,,,,,9,8,,,
262,"University of Maryland, College Park",1,10,East,,,,,,,,,10,7,,,
"126,232",MSU / UCLA,1,11,East,,,,,,,,,11,6,,,
78,Georgetown University,1,12,East,,,,,,,,,12,5,,,
283,University of North Carolina at Greensboro,1,13,East,,,,,,,,,13,4,,,
1,Abilene Christian University,1,14,East,,,,,,,,,14,3,,,
97,Iona College,1,15,East,,,,,,,,,15,2,,,
"135,210",Mount St. Mary's / Texas Southern,1,16,East,,,,,,,,,16,1,,,
252,"University of Illinois at Urbana, Champaign",1,1,Midwest,,,,,,,,,17,32,,,
249,University of Houston,1,2,Midwest,,,,,,,,,18,31,,,
339,West Virginia University,1,3,Midwest,,,,,,,,,19,30,,,
155,"Oklahoma State University, Stillwater",1,4,Midwest,,,,,,,,,20,29,,,
307,University of Tennessee,1,5,Midwest,,,,,,,,,21,28,,,
181,San Diego State University,1,6,Midwest,,,,,,,,,22,27,,,
39,Clemson University,1,7,Midwest,,,,,,,,,23,26,,,
117,Loyola University Chicago,1,8,Midwest,,,,,,,,,24,25,,,
79,Georgia Institute of Technology,1,9,Midwest,,,,,,,,,25,24,,,
172,Rutgers University,1,10,Midwest,,,,,,,,,26,23,,,
203,Syracuse University,1,11,Midwest,,,,,,,,,27,22,,,
158,Oregon State University,1,12,Midwest,,,,,,,,,28,21,,,
110,Liberty University,1,13,Midwest,,,,,,,,,29,20,,,
133,Morehead State University,1,14,Midwest,,,,,,,,,30,19,,,
40,Cleveland State University,1,15,Midwest,,,,,,,,,31,18,,,
56,Drexel University,1,16,Midwest,,,,,,,,,32,17,,,
12,Baylor University,1,1,South,,,,,,,,,33,48,,,
153,Ohio State University,1,2,South,,,,,,,,,34,47,,,
226,University of Arkansas,1,3,South,,,,,,,,,35,46,,,
166,Purdue University,1,4,South,,,,,,,,,36,45,,,
331,Villanova University,1,5,South,,,,,,,,,37,44,,,
212,Texas Tech University,1,6,South,,,,,,,,,38,43,,,
245,University of Florida,1,7,South,,,,,,,,,39,42,,,
281,University of North Carolina at Chapel Hill,1,8,South,,,,,,,,,40,41,,,
324,"University of Wisconsin, Madison",1,9,South,,,,,,,,,41,40,,,
334,Virginia Polytechnic Institute and State University,1,10,South,,,,,,,,,42,39,,,
327,Utah State University,1,11,South,,,,,,,,,43,38,,,
345,Winthrop University,1,12,South,,,,,,,,,44,37,,,
287,University of North Texas,1,13,South,,,,,,,,,45,36,,,
42,Colgate University,1,14,South,,,,,,,,,46,35,,,
157,Oral Roberts University,1,15,South,,,,,,,,,47,34,,,
247,University of Hartford,1,16,South,,,,,,,,,48,33,,,
82,Gonzaga University,1,1,West,,,,,,,,,49,64,,,
253,University of Iowa,1,2,West,,,,,,,,,50,63,,,
254,University of Kansas,1,3,West,,,,,,,,,51,62,,,
321,University of Virginia,1,4,West,,,,,,,,,52,61,,,
50,Creighton University,1,5,West,,,,,,,,,53,60,,,
305,University of Southern California,1,6,West,,,,,,,,,54,59,,,
292,University of Oregon,1,7,West,,,,,,,,,55,58,,,
291,University of Oklahoma,1,8,West,,,,,,,,,56,57,,,
270,University of Missouri,1,9,West,,,,,,,,,57,56,,,
332,Virginia Commonwealth University,1,10,West,,,,,,,,,58,55,,,
"55,344",Drake / Wichita St.,1,11,West,,,,,,,,,59,54,,,
234,"University of California, Santa Barbara",1,12,West,,,,,,,,,60,53,,,
154,Ohio University,1,13,West,,,,,,,,,61,52,,,
64,Eastern Washington University,1,14,West,,,,,,,,,62,51,,,
84,Grand Canyon University,1,15,West,,,,,,,,,63,50,,,
"6,141",App St. / Norfolk St.,1,16,West,,,,,,,,,64,49,,,
