team_id,team_name,in_2015,team_seed,team_region,rd0_win,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,loss_margin,tourn_id,opp_id,owner,cost,return
331,Villanova University,1,1,East,1,1,0,0,0,0,0,3,1,16,Ajay,$102.00 ,$6.80 
321,University of Virginia,1,2,East,1,1,0,0,0,0,0,6,2,15,Chad,$73.00 ,$6.80 
291,University of Oklahoma,1,3,East,1,1,1,0,0,0,0,4,3,14,Kirk,$32.00 ,$20.40 
258,University of Louisville,1,4,East,1,1,1,1,0,0,0,6,4,13,Dubina,$26.00 ,$47.60 
289,University of Northern Iowa,1,5,East,1,1,0,0,0,0,0,13,5,12,Bill,$25.00 ,$6.80 
165,Providence College,1,6,East,1,0,0,0,0,0,0,13,6,11,Kirk,$14.00 ,$0.00 
126,Michigan State University,1,7,East,1,1,1,1,1,0,0,20,7,10,Rob,$20.00 ,$102.00 
144,North Carolina State University,1,8,East,1,1,1,0,0,0,0,10,8,9,Kirk,$13.00 ,$20.40 
114,Louisiana State University,1,9,East,1,0,0,0,0,0,0,1,9,8,Tommy,$5.00 ,$0.00 
246,University of Georgia,1,10,East,1,0,0,0,0,0,0,7,10,7,Marlow,$6.00 ,$0.00 
16,Boise State University,1,11,East,0,0,0,0,0,0,0,1,65,11,Menyo,$0.00 ,$0.00 
240,University of Dayton,1,11,East,1,1,0,0,0,0,0,6,11,6,Menyo,$9.00 ,$6.80 
326,University of Wyoming,1,12,East,1,0,0,0,0,0,0,17,12,5,Charlie,$6.00 ,$0.00 
231,"University of California, Irvine",1,13,East,1,0,0,0,0,0,0,2,13,4,Jerome,$5.00 ,$0.00 
220,"University at Albany, SUNY",1,14,East,1,0,0,0,0,0,0,9,14,3,Diesel,$6.00 ,$0.00 
13,Belmont University,1,15,East,1,0,0,0,0,0,0,12,15,2,Jerome,$3.00 ,$0.00 
107,Lafayette College,1,16,East,1,0,0,0,0,0,0,41,16,1,Fish,$4.00 ,$52.40 
255,University of Kentucky,1,1,Midwest,1,1,1,1,1,0,0,7,17,32,Alan,$180.00 ,$102.00 
254,University of Kansas,1,2,Midwest,1,1,0,0,0,0,0,13,18,31,Charlie,$37.00 ,$6.80 
290,University of Notre Dame,1,3,Midwest,1,1,1,1,0,0,0,2,19,30,Colin,$34.00 ,$47.60 
262,"University of Maryland, College Park",1,4,Midwest,1,1,0,0,0,0,0,10,20,29,Kirk,$15.00 ,$6.80 
339,West Virginia University,1,5,Midwest,1,1,1,0,0,0,0,39,21,28,Chad,$17.00 ,$20.40 
25,Butler University,1,6,Midwest,1,1,0,0,0,0,0,3,22,27,Conal,$8.00 ,$6.80 
344,Wichita State University,1,7,Midwest,1,1,1,0,0,0,0,11,23,26,Diesel,$16.00 ,$20.40 
237,University of Cincinnati,1,8,Midwest,1,1,0,0,0,0,0,13,24,25,Marlow,$8.00 ,$6.80 
166,Purdue University,1,9,Midwest,1,0,0,0,0,0,0,1,25,24,Ajay,$7.00 ,$0.00 
96,Indiana University Bloomington,1,10,Midwest,1,0,0,0,0,0,0,5,26,23,Kirk,$9.00 ,$0.00 
311,University of Texas at Austin,1,11,Midwest,1,0,0,0,0,0,0,8,27,22,Jerome,$18.00 ,$0.00 
